,Movies,Year,Genre,Rating,One-Line Description,Stars,Votes,Run Time,Gross
137,Dreamgirls,2006,"Drama, Music, Musical            ",6.5,A trio of black female soul singers cross over to the pop charts in the early 1960s facing their own personal struggles along the way.,"    DirectorBill Condon     StarsBeyoncé, Jamie Foxx, Eddie Murphy, Danny Glover","70,985",130.0,103.37
138,Smokin' Aces,2006,"Action, Comedy, Crime            ",6.7,When a Las Vegas performer-turned-snitch named Buddy Israel decides to turn state's evidence and testify against the mob it seems that a whole lot of people would like to make sure he's no longer breathing.,"    DirectorJoe Carnahan     StarsJeremy Piven, Ryan Reynolds, Ray Liotta, Joseph Ruskin","1,40,790",109.0,35.66
139,Serenity,2019,"Drama, Mystery, Thriller            ",5.4,A fishing boat captain juggles facing his mysterious past and finding himself ensnared in a reality where nothing is what it seems.,"    DirectorSteven Knight     StarsMatthew McConaughey, Anne Hathaway, Diane Lane, Jason Clarke","38,364",106.0,8.55
140,Hotel Transylvania 3: Summer Vacation,2018,"Animation, Adventure, Comedy            ",6.3,Count Dracula and company participate in a cruise for sea-loving monsters unaware that their boat is being commandeered by the monster-hating Van Helsing family.,"    DirectorGenndy Tartakovsky     StarsAdam Sandler, Andy Samberg, Selena Gomez, Kevin James","62,255",97.0,167.51
141,Triple 9,2016,"Action, Crime, Thriller            ",6.3,A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.,"    DirectorJohn Hillcoat     StarsCasey Affleck, Chiwetel Ejiofor, Anthony Mackie, Aaron Paul","69,234",115.0,12.63
142,Easy Rider,1969,"Adventure, Drama            ",7.3,Two bikers head from L.A. to New Orleans through the open country and desert lands and along the way they meet a man who bridges a counter-culture gap of which they had been unaware.,"    DirectorDennis Hopper     StarsPeter Fonda, Dennis Hopper, Jack Nicholson, Antonio Mendoza","1,04,511",95.0,41.73
143,A Walk to Remember,2002,"Drama, Romance            ",7.3,The story of two North Carolina teens Landon Carter and Jamie Sullivan who are thrown together after Landon gets into trouble and is made to do community service.,"    DirectorAdam Shankman     StarsMandy Moore, Shane West, Peter Coyote, Daryl Hannah","2,03,383",101.0,41.23
144,Lilo & Stitch,2002,"Animation, Adventure, Comedy            ",7.3,A young and parentless girl adopts a 'dog' from the local pound completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace.,"    DirectorsDean DeBlois, Chris Sanders     StarsDaveigh Chase, Chris Sanders, Tia Carrere, David Ogden Stiers","1,75,052",85.0,145.79
145,Operation Finale,2018,"Biography, Drama, History            ",6.6,A team of secret agents set out to track down the Nazi officer who masterminded the Holocaust.,"    DirectorChris Weitz     StarsOscar Isaac, Ben Kingsley, Mélanie Laurent, Lior Raz","36,593",122.0,17.61
146,Locke,2013,Drama            ,7.1,Ivan Locke a dedicated family man and successful construction manager receives a phone call on the eve of the biggest challenge of his career that sets in motion a series of events that threaten his carefully cultivated existence.,"    DirectorSteven Knight     StarsTom Hardy, Olivia Colman, Ruth Wilson, Andrew Scott","1,40,930",85.0,1.36
147,A Cinderella Story,2004,"Comedy, Family, Romance            ",5.9,Routinely exploited by her wicked stepmother the downtrodden Samantha Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.,"    DirectorMark Rosman     StarsHilary Duff, Chad Michael Murray, Jennifer Coolidge, Dan Byrd","82,876",95.0,51.44
148,Escape Plan,2013,"Action, Thriller            ",6.7,When a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison he has to use his skills to escape with help from the inside.,"    DirectorMikael Håfström     StarsSylvester Stallone, Arnold Schwarzenegger, 50 Cent, Vincent D'Onofrio","2,33,030",115.0,25.13
149,Life of Brian,1979,Comedy            ,8.1,Born on the original Christmas in the stable next door to Jesus Christ Brian of Nazareth spends his life being mistaken for a messiah.,"    DirectorTerry Jones     StarsGraham Chapman, John Cleese, Michael Palin, Terry Gilliam","3,78,134",94.0,20.05
150,Colombiana,2011,"Action, Drama, Thriller            ",6.4,A young girl in Bogotá witnesses her parents' murder and grows up to be a stone-cold assassin.,"    DirectorOlivier Megaton     StarsZoe Saldana, Michael Vartan, Callum Blue, Jordi Mollà","97,146",108.0,36.67
151,Resident Evil: The Final Chapter,2016,"Action, Horror, Sci-Fi            ",5.5,Alice returns to where the nightmare began: The Hive in Raccoon City where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.,"    DirectorPaul W.S. Anderson     StarsMilla Jovovich, Iain Glen, Ali Larter, Shawn Roberts","87,437",107.0,26.83
152,Dirty Grandpa,2016,Comedy            ,5.9,Right before his wedding an uptight guy is tricked into driving his grandfather a lecherous former Army Lieutenant Colonel to Florida for Spring Break.,"    DirectorDan Mazer     StarsRobert De Niro, Zac Efron, Zoey Deutch, Aubrey Plaza","1,17,026",102.0,35.59
153,Late Night,2019,"Comedy, Drama            ",6.5,A late night talk show host suspects that she may soon lose her long-running show.,"    DirectorNisha Ganatra     StarsEmma Thompson, Mindy Kaling, John Lithgow, Hugh Dancy","33,065",102.0,15.5
154,The Duff,2015,"Comedy, Romance            ",6.5,A high school senior instigates a social pecking order revolution after finding out that she has been labeled the DUFF - Designated Ugly Fat Friend - by her prettier more popular counterparts.,"    DirectorAri Sandel     StarsMae Whitman, Bella Thorne, Robbie Amell, Allison Janney","86,929",101.0,34.02
155,You're Next,2011,"Horror, Thriller            ",6.6,When the Davison family comes under attack during their wedding anniversary getaway the gang of mysterious killers soon learns that one of the victims harbors a secret talent for fighting back.,"    DirectorAdam Wingard     StarsSharni Vinson, Joe Swanberg, AJ Bowen, Nicholas Tucci","92,232",95.0,18.47
156,The Lincoln Lawyer,2011,"Crime, Drama, Mystery            ",7.3,A lawyer defending a wealthy man begins to believe his client is guilty of more than just one crime.,"    DirectorBrad Furman     StarsMatthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy","2,22,054",118.0,58.01
157,Pixels,2015,"Action, Comedy, Fantasy            ",5.5,When aliens misinterpret video feeds of classic arcade games as a declaration of war they attack the Earth in the form of the video games.,"    DirectorChris Columbus     StarsAdam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage","1,35,509",105.0,78.75
158,The Ten Commandments,1956,"Adventure, Drama            ",7.9,Moses an Egyptian Prince learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people.,"    DirectorCecil B. DeMille     StarsCharlton Heston, Yul Brynner, Anne Baxter, Edward G. Robinson","66,532",220.0,93.74
159,Live by Night,2016,"Action, Crime, Drama            ",6.4,A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era facing off against the competition and the Ku Klux Klan.,"    DirectorBen Affleck     StarsBen Affleck, Elle Fanning, Brendan Gleeson, Chris Messina","54,010",129.0,10.38
160,Sabotage,2014,"Action, Crime, Drama            ",5.7,Members of an elite DEA task force find themselves being taken down one by one after they rob a drug cartel safe house.,"    DirectorDavid Ayer     StarsArnold Schwarzenegger, Sam Worthington, Terrence Howard, Olivia Williams","61,545",109.0,10.51
161,Despicable Me 2,2013,"Animation, Adventure, Comedy            ",7.3,When Gru the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own He has to fight back with new gadgetry cars and more minion madness.,"    DirectorsPierre Coffin, Chris Renaud     StarsSteve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove","3,77,936",98.0,368.06
162,Oz the Great and Powerful,2013,"Adventure, Family, Fantasy            ",6.3,A small-time magician is swept away to an enchanted land and is forced into a power struggle between three witches.,"    DirectorSam Raimi     StarsJames Franco, Michelle Williams, Rachel Weisz, Mila Kunis","2,01,707",130.0,234.91
163,CHIPS,2017,"Action, Comedy, Crime            ",6.0,A rookie officer is teamed with a hardened pro at the California Highway Patrol though the newbie soon learns his partner is really an undercover Fed investigating a heist that may involve some crooked cops.,"    DirectorDax Shepard     StarsMichael Peña, Dax Shepard, Vincent D'Onofrio, Rosa Salazar","44,487",100.0,18.6
164,Taken 3,2014,"Action, Crime, Thriller            ",6.0,Accused of a ruthless murder he never committed or witnessed Bryan Mills goes on the run and brings out his particular set of skills to find the true killer and clear his name.,"    DirectorOlivier Megaton     StarsLiam Neeson, Forest Whitaker, Maggie Grace, Famke Janssen","1,83,595",108.0,89.26
165,Out of the Furnace,2013,"Action, Crime, Drama            ",6.8,When Rodney Baze mysteriously disappears and law enforcement doesn't follow through fast enough his older brother Russell takes matters into his own hands to find justice.,"    DirectorScott Cooper     StarsChristian Bale, Casey Affleck, Zoe Saldana, Woody Harrelson","1,10,076",116.0,11.33
