,Movies,Year,Genre,Rating,One-Line Description,Stars,Votes,Run Time,Gross
375,Somm,2012,Documentary            ,7.1,Four sommeliers attempt to pass the prestigious Master Sommelier exam a test with one of the lowest pass rates in the world.,"    DirectorJason Wise     StarsBo Barrett, Shayn Bjornholm, Dave Cauble, Ian Cauble","4,536",94.0,0.17
376,Howl,2010,"Biography, Drama, Romance            ",6.7,As Allen Ginsberg talks about his life and art his most famous poem is illustrated in animation while the obscenity trial of the work is dramatized.,"    DirectorsRob Epstein, Jeffrey Friedman     StarsJames Franco, Todd Rotondi, Jon Prescott, Aaron Tveit","12,757",84.0,0.62
377,Kevin Hart: What Now?,2016,"Documentary, Comedy            ",5.9,Comedian Kevin Hart performs in front of a crowd of 53000 people at Philadelphia's outdoor venue Lincoln Financial Field.,"    DirectorsLeslie Small, Tim Story     StarsKevin Hart, Don Cheadle, Halle Berry, Ed Helms","9,154",96.0,23.59
378,Aala Kaf Ifrit,2017,"Crime, Drama, Thriller            ",7.0,A college student seeks help after a brutal assault but faces a bureaucratic nightmare when she reveals that her perpetrators are police officers.,"    DirectorKaouther Ben Hania     StarsMariam Al Ferjani, Ghanem Zrelli, Noomen Hamda, Mohamed Akkari","1,912",100.0,0.01
379,Interior. Leather Bar.,2013,Drama            ,5.1,Filmmakers James Franco and Travis Mathews re-imagine the lost 40 minutes from Cruising (1980) as a starting point to a broader exploration of sexual and creative freedom.,"    DirectorsJames Franco, Travis Mathews     StarsVal Lauren, Christian Patrick, James Franco, Travis Mathews","2,472",60.0,0.04
380,The Puffy Chair,2005,"Comedy, Drama, Romance            ",6.5,Josh Sagers drives cross-country on a mission to deliver his father's birthday gift - a giant purple LazyBoy.,"    DirectorsJay Duplass, Mark Duplass     StarsMark Duplass, Katie Aselton, Rhett Wilkins, Julie Fischer","4,978",85.0,0.19
381,Jonah: A VeggieTales Movie,2002,"Animation, Adventure, Comedy            ",6.5,When the singing Veggies encounter some car trouble they are stranded at an old rundown seafood joint where nothing is quite as it seems.,"    DirectorsMike Nawrocki, Phil Vischer     StarsPhil Vischer, Mike Nawrocki, Tim Hodge, Lisa Vischer","4,038",82.0,25.58
382,Be Here Now,2015,"Documentary, Biography, Drama            ",8.6,As though life is imitating art actor and sex-symbol Andy Whitfield had just become a star as the lead in the hit television series'Spartacus' when he is faced with his biggest ...                See full summary »,"    DirectorLilibet Foster     StarsJai Courtney, Andy Whitfield, Indigo Whitfield, Jesse Whitfield","3,288",100.0,0.02
383,Wilbur Wants to Kill Himself,2002,"Comedy, Drama, Romance            ",6.8,The chronically suicidal Wilbur and his good-hearted big brother Harbour are in their thirties when their father dies leaving them with nothing but a worn down second-hand bookshop in Glasgow.,"    DirectorLone Scherfig     StarsJamie Sives, Adrian Rawlins, Shirley Henderson, Lisa McKinlay","7,724",111.0,0.23
384,The Trial,2010,"Crime, Drama, Mystery            ",5.6,After the horrific death of his wife and two sons suicide seems to be the only escape for a small town attorney until he's assigned a capital punishment case that begins to transform his life.,"    DirectorGary Wheeler     StarsLarry Bagby, Clare Carey, Nikki Deloach, David Dwyer","1,462",101.0,0.02
385,Grandmaster,2012,"Action, Thriller            ",7.0,A veteran cop chases a cold blooded serial killer who murders his victims in alphabetical order.,"    DirectorB. Unnikrishnan     StarsMohanlal, Priyamani, Babu Antony, Arjun Nandakumar","2,034",100.0,0.02
386,The Devil and Father Amorth,2017,"Documentary, Horror            ",4.6,Father Gabriele Amorth performs his ninth exorcism on an Italian woman.,"    DirectorWilliam Friedkin     StarsWilliam Friedkin, Jeffrey Burton Russell, Christina, Gabriele Amorth","2,202",68.0,0.02
387,Requiem for the American Dream,2015,"Documentary, Biography, News            ",8.1,Renowned academic and author Noam Chomsky elucidates 10 principles of concentration of wealth and power that have led to unprecedented inequality and the hollowing out of the American middle class.,"    DirectorsPeter D. Hutchison, Kelly Nyks, Jared P. Scott     StarsNoam Chomsky, Alan Greenspan, Malcolm X, Richard Nixon","9,193",73.0,0.13
388,Particle Fever,2013,Documentary            ,7.4,As the Large Hadron Collider is about to be launched for the first time physicists are on the cusp of the greatest scientific discovery of all time -- or perhaps their greatest failure.,"    DirectorMark Levinson     StarsDavid Kaplan, Fabiola Gianotti, Sherwood Boehlert, Joel Hefley","7,271",99.0,0.87
389,Money,2016,"Crime, Mystery, Thriller            ",5.5,Two corporate spies with a $5 million haul for selling secrets are held hostage by a thief triggering a game of cat and mouse to gain the upper hand.,"    DirectorMartín Rosete     StarsJesse Williams, Kellan Lutz, Jamie Bamber, Jess Weixler","2,806",86.0,1.02
390,Sufat Chol,2016,Drama            ,6.8,When their entire lives shatter two Bedouin women struggle to change the unchangeable rules each in her own individual way.,"    DirectorElite Zexer     StarsLamis Ammar, Ruba Blal, Hitham Omari, Khadija Al Akel","3,310",87.0,0.08
391,Chiisana eiyû: Kani to tamago to tômei ningen,2018,"Animation, Adventure, Family            ",6.6,An anthology of three original shorts written and directed by Hiromasa Yonebayashi Yoshiyuki Momose and Akihiko Yamashita.,"    DirectorsYoshiyuki Momose, Akihiko Yamashita, Hiromasa Yonebayashi     StarsAlex Cazares, Jessica DiCicco, Scarlett Estevez, Todd Haberkorn","2,308",53.0,0.18
392,Undefeated,2011,"Documentary, Sport            ",7.7,Chronicles three underprivileged students from inner-city Memphis and their volunteer coach who tries to help them beat the odds on and off the field.,"    DirectorsDaniel Lindsay, T.J. Martin     StarsBill Courtney, O.C. Brown, Montrail 'Money' Brown, Chavis Daniels","6,897",113.0,0.56
393,Papa Hemingway in Cuba,2015,"Biography, Drama            ",6.3,In 1959 a young journalist ventures to Havana Cuba to meet his idol the legendary Ernest Hemingway who helped him find his literary voice while the Cuban Revolution comes to a boil around them.,"    DirectorBob Yari     StarsGiovanni Ribisi, Joely Richardson, Adrian Sparks, Minka Kelly","1,450",110.0,1.12
394,Ethan Frome,1993,"Drama, Romance            ",6.2,A new pastor arrives in a stark Vermont village and is intrigued by crippled misshapen Ethan Frome living on an isolated hardscrabble farm with his sickly wife Zeena.,"    DirectorJohn Madden     StarsLiam Neeson, Patricia Arquette, Gil Rood, Tate Donovan","2,056",99.0,0.3
395,LUV,2012,"Crime, Drama            ",6.0,An 11-year-old boy gets a crash course in what it means to be a man when he spends a day with the ex-convict uncle he idolizes.,"    DirectorSheldon Candis     StarsCommon, Michael Rainey Jr., Dennis Haysbert, Danny Glover","2,136",94.0,0.14
396,Touchy Feely,2013,"Comedy, Drama            ",5.3,A massage therapist is unable to do her job when stricken with a mysterious and sudden aversion to bodily contact. Meanwhile her uptight brother's floundering dental practice receives new life when clients seek out his healing touch.,"    DirectorLynn Shelton     StarsRosemarie DeWitt, Elliot Page, Josh Pais, Scoot McNairy","3,615",88.0,0.04
397,Generation Iron,2013,"Documentary, Drama, Sport            ",7.1,A documentary that follows top bodybuilders as they train to compete in the Mr. Olympia competition.,"    DirectorVlad Yudin     StarsArnold Schwarzenegger, Mickey Rourke, Michael Jai White, Lou Ferrigno","7,715",106.0,0.85
398,"Sleep, My Love",1948,"Drama, Film-Noir, Mystery            ",6.8,Chronic sleepwalker Alison Courtland thinks that a mysterious man wearing horned-rimmed eye glasses is out to kill her but her husband blames her tired imagination.,"    DirectorDouglas Sirk     StarsClaudette Colbert, Robert Cummings, Don Ameche, Rita Johnson","1,631",97.0,1.8
399,Bethany Hamilton: Unstoppable,2018,"Documentary, Sport            ",7.4,After losing an arm to a shark attack at age 13 Bethany Hamilton refuses to give up her dreams of being a professional surfer.,"    DirectorAaron Lieber     StarsAlana Blanchard, Adam Dirks, Tobias Dirks, Madison Graber",619,100.0,0.59
400,Bettie Page Reveals All,2012,"Documentary, Biography            ",7.1,The world's greatest pinup model and cult icon Bettie Page recounts the true story of how her free expression overcame government witch-hunts to help launch America's sexual revolution.,"    DirectorMark Mori     StarsBettie Page, Hugh Hefner, Olivia de Berardinis, Dita Von Teese","1,459",101.0,0.1
401,The Short Game,2013,"Documentary, Sport            ",7.3,The best 7 year old golfers from around the world descend on the world famous Pinehurst Golf course in North Carolina to determine the next world champion and who might become golf's next ...                See full summary »,"    DirectorJosh Greenbaum     StarsAmari Avery, Jed Dy, Allan Kournikova, Zamokuhle Nxasana","1,439",99.0,0.04
402,Al midan,2013,"Documentary, Drama, History            ",8.1,A group of Egyptian revolutionaries battle leaders and regimes risking their lives to build a new society of conscience.,"    DirectorJehane Noujaim     StarsAhmed Hassan, Khalid Abdalla, Magdy Ashour, Ramy Essam","8,795",108.0,0.12
403,Supermensch: The Legend of Shep Gordon,2013,"Documentary, Biography, Music            ",7.4,The life and career of the legendary Hollywood insider Shep Gordon.,"    DirectorsBeth Aala, Mike Myers     StarsShep Gordon, Sylvester Stallone, Michael Douglas, Alice Cooper","3,218",85.0,0.21
404,Nanking,2007,"Biography, History, War            ",7.6,Through readings of historical account by actors and the testimony of survivors the events of the Nanjing Massacre are recounted.,"    DirectorsBill Guttentag, Dan Sturman     StarsHugo Armstrong, Rosalind Chao, Stephen Dorff, John Getz","3,416",90.0,0.16
405,Praia do Futuro,2014,"Drama, Romance            ",6.4,Shortly after failing to rescue a drowning man Donato meets Konrad a friend of the victim. They soon begin a relationship which seems doomed from the start while Donato's past catches up with him.,"    DirectorKarim Aïnouz     StarsWagner Moura, Clemens Schick, Jesuíta Barbosa, Fred Lima","2,939",106.0,0.02
406,Morris from America,2016,"Comedy, Drama, Romance            ",6.2,The romantic and coming-of-age misadventures of a 13-year-old American living in Germany.,"    DirectorChad Hartigan     StarsMarkees Christmas, Craig Robinson, Carla Juri, Patrick Güldenberg","5,201",91.0,0.09
407,Orgasm Inc.,2009,Documentary            ,5.9,Extraordinary behind-the-scenes access reveals a drug company's fevered race to develop the first FDA-approved Viagra for women - and offers a humorous but sobering look inside the cash-fueled pharmaceutical industry.,"    DirectorElizabeth Canner     StarsElizabeth Canner, Darby Stephens, Virgil Place, Leland Wilson",535,73.0,0.05
408,Peter and the Farm,2016,Documentary            ,7.1,A documentary on Peter Dunning the proprietor of Mile Hill Farm in Vermont who has isolated himself away from his family and often suggests to the filmmakers to make his own suicide a narrative device.,    DirectorTony Stone     StarPeter Dunning,713,91.0,0.02
409,Yosemite,2015,Drama            ,4.8,It's the fall of 1985. The intertwining tales of three 5th grade friends Chris Joe and Ted unfold in the suburban paradise of Palo Alto as the threat of a mountain lion looms over the community.,"    DirectorGabrielle Demeestere     StarsJames Franco, Everett Meckler, Alec Mansky, Calum John",830,80.0,0.01
410,I Called Him Morgan,2016,"Documentary, Drama, History            ",7.3,An exploration of the relationship between jazz trumpeter Lee Morgan and his common-law wife Helen who was implicated in his murder in 1972.,"    DirectorKasper Collin     StarsLee Morgan, Helen Morgan, Wayne Shorter, Larry Reni Thomas","1,649",92.0,0.1
411,The Fluffy Movie: Unity Through Laughter,2014,"Documentary, Comedy            ",7.3,A comedy concert film that captures the on-stage performance and inspirational success story of Gabriel Fluffy Iglesias.,"    DirectorsManny Rodriguez, Jay Lavender     StarsGabriel Iglesias, Jacqueline Obradors, Gina Brillon, Alfred Robles","3,726",101.0,2.83
412,King's Faith,2013,Drama            ,6.4,When eighteen-year-old Brendan King attempts to leave his turbulent gang life behind him his past continues to threaten his new-found faith family and future.,"    DirectorNicholas DiBella     StarsCrawford Wilson, Lynn Whitfield, James McDaniel, Kayla Compton",744,108.0,0.09
413,The Sunshine Makers,2015,"Documentary, History            ",7.0,The story of Nicholas Sand and Tim Scully the unlikely duo at the heart of 1960s American drug counter-culture.,"    DirectorCosmo Feilding-Mellen     StarsTim Scully, Nick Sand, Alice Einhorn, Billy Hitchcock","1,344",101.0,0.01
414,Alive Inside,2014,"Documentary, News            ",8.2,Dan Cohen founder of the nonprofit organization Music & Memory fights against a broken healthcare system to demonstrate music's ability to combat memory loss and restore a deep sense of self to those suffering from it.,"    DirectorMichael Rossato-Bennett     StarsDan Cohen, Louise Dueno, Nell Hardie, Norman Hardie","3,058",78.0,0.15
415,Gimme the Loot,2012,"Comedy, Crime, Drama            ",6.6,When their latest work is buffed by a rival crew two determined graffiti writers embark on an elaborate plan to bomb the ultimate location: the New York Mets' Home Run Apple.,"    DirectorAdam Leon     StarsTy Hickson, Tashiana Washington, Joshua Rivera, Zoë Lescaze","2,461",79.0,0.1
416,Kevin Hart: Let Me Explain,2013,"Documentary, Comedy            ",6.8,Filmed at a sold-out performance at Madison Square Garden comedian Kevin Hart delivers material from his 2012 Let Me Explain concert tour.,"    DirectorsLeslie Small, Tim Story     StarsKevin Hart, Harry Ratchford, Will 'Spank' Horton, Joey Wells","8,731",75.0,32.24
417,The Overnighters,2014,"Documentary, Drama            ",7.4,Broken desperate men chase their dreams and run from their demons in the North Dakota oil fields. A local Pastor risks everything to help them.,"    DirectorJesse Moss     StarsJay Reinke, Andrea Reinke, Alan Mezo, Shelly Schultz","2,386",102.0,0.11
418,Video Games: The Movie,2014,"Documentary, Animation, History            ",6.1,Learn how video games are made marketed and consumed by looking back at gaming history and culture through the eyes of game developers publishers and consumers.,"    DirectorJeremy Snead     StarsSean Astin, Al Alcorn, Peter Armstrong, Cliff Bleszinski","5,421",101.0,0.02
419,War of the Worlds: Goliath,2012,"Animation, Action, Adventure            ",5.4,A retro-futuristic epic of steampunk battle set in 1914. It has been 15 years since the original H.G. Wells Martian invasion. Fearing another attack the human race has prepared itself. ...                See full summary »,"    DirectorJoe Pearson     StarsAdam Baldwin, Beau Billingslea, Kim Buckingham, Jim Byrnes","1,134",85.0,0.01
420,The Bad Kids,2016,Documentary            ,7.0,A group of teachers at a Mojave Desert high school take an unconventional approach to improve the lives of their struggling students.,"    DirectorsKeith Fulton, Louis Pepe     StarsVonda Viland, Julia Alexander, Laura Ambrosius, Robert Bartz",612,101.0,0.0
421,Good Ol' Freda,2013,"Documentary, Biography, History            ",7.3,A documentary in which Freda Kelly looks back at her career as lifelong secretary for The Beatles.,"    DirectorRyan White     StarsFreda Kelly, Paul McCartney, John Lennon, George Harrison","1,930",86.0,0.14
422,The Music of Strangers,2015,"Documentary, Music            ",7.7,Cellist Yo-Yo Ma and other international artists of The Silk Road Project discuss their philosophies on music and culture.,"    DirectorMorgan Neville     StarsYo-Yo Ma, Kinan Azmeh, Kayhan Kalhor, Cristina Pato",696,96.0,1.16
423,Life's a Breeze,2013,"Comedy, Drama            ",6.3,Tells the story of a family as they search for a lost fortune around the streets of Dublin.,"    DirectorLance Daly     StarsKelly Thornton, Fionnula Flanagan, Pat Shortt, Eva Birthistle","1,103",83.0,0.0
424,The Reconstruction of William Zero,2014,"Drama, Mystery, Sci-Fi            ",5.4,A geneticist wakes up from an accident with only fragments of his memory is forced to relearn who he is via his twin brother. But as he digs deeper he discovers he might not be who he thought at all.,"    DirectorDan Bush     StarsConal Byrne, Amy Seimetz, Scott Poythress, Lake Roberts","1,147",98.0,0.0
425,Dayveon,2017,Drama            ,6.3,In the wake of his older brother's death 13-year-old Dayveon spends the sweltering summer days roaming his rural Arkansas town. When he falls in with a local gang he becomes drawn to the camaraderie and violence of their world.,"    DirectorAmman Abbasi     StarsDevin Blackmon, Dontrell Bright, Lachion Buckingham, Kordell Johnson",501,75.0,0.0
426,Green is Gold,2016,"Crime, Drama            ",6.0,After a teenage boy's father goes to prison he is forced to live with his older brother who has a compromising trade.,"    DirectorRyon Baxter     StarsDerek W. Adam, Jimmy Baxter, Ryon Baxter, Billy Bodie",945,81.0,0.0
427,The Final Year,2017,Documentary            ,6.4,A chronicle of the Barack Obama administration's foreign policy team and the events of Obama's final year in office.,"    DirectorGreg Barker     StarsBen Rhodes, Samantha Power, John Kerry, Susan Rice","3,191",89.0,0.19
428,Pandora's Promise,2013,Documentary            ,7.4,The atomic bomb and meltdowns like Fukushima have made nuclear power synonymous with global disaster. But what if we've got nuclear power wrong,"    DirectorRobert Stone     StarsStewart Brand, Richard Rhodes, Gwyneth Cravens, Mark Lynas","1,858",87.0,0.07
429,Revenge of the Electric Car,2011,Documentary            ,7.2,Director Chris Paine takes his film crew behind the closed doors of Nissan GM and the Silicon Valley start-up Tesla Motors to chronicle the story of the global resurgence of electric cars.,"    DirectorChris Paine     StarsTim Robbins, Dan Neil, Danny DeVito, Ray Wert","1,808",90.0,0.15
430,Being Elmo: A Puppeteer's Journey,2011,Documentary            ,7.6,The Muppet Elmo is one of the most beloved characters among children across the globe. Meet the unlikely man behind the puppet - the heart and soul of Elmo - Kevin Clash.,"    DirectorsConstance Marks, Philip Shane     StarsKevin Clash, Whoopi Goldberg, Frank Oz, Bill Barretta","6,897",80.0,0.3
431,Meet the Mormons,2014,Documentary            ,6.8,Meet the Mormons examines the very diverse lives of six devout members of the Church of Jesus Christ of Latter-day Saints. Filmed on location and across the globe Meet the Mormons takes ...                See full summary »,"    DirectorBlair Treu     StarsJermaine Sullivan, Ken Niumatalolo, Carolina Muñoz Marin, Bishnu Adhikari","1,973",78.0,5.88
432,Dear Mr. Watterson,2013,Documentary            ,6.4,A documentary about the impact of the newspaper comic strip Calvin and Hobbes created by Bill Watterson.,"    DirectorJoel Allen Schroeder     StarsBerkeley Breathed, Jef Mallett, Stephan Pastis, Seth Green","1,834",89.0,0.01
433,An Act of War,2015,"Crime, Drama, Thriller            ",5.2,A veteran tries to put his life back together but is drawn to deeds that may be more dangerous than his tour of duty.,"    DirectorRyan M. Kennedy     StarsRuss Russo, Natasha Alam, Doug E. Doug, Joseph R. Gannascoli","1,422",99.0,0.11
434,Hell and Back Again,2011,"Documentary, Action, History            ",6.5,What does it mean to lead men in war What does it mean to come home Hell and Back Again is a cinematically revolutionary film that asks and answers these questions with a power and ...                See full summary »,"    DirectorDanfung Dennis     StarsNathan Harris, Ashley Harris, The Marines of Echo Company, Christian Cabaniss","2,236",88.0,0.04
435,The Waiting Room,2012,Documentary            ,7.1,Go behind the doors of an American public hospital struggling to care for a community of largely uninsured patients.,    DirectorPeter Nicks     StarSean Bennett,785,81.0,0.24
436,Blood Brother,2013,Documentary            ,8.3,Documentarian visits best friend in India to see the mutual unconditional love that keeps his buddy bonded to a village hostel housing AIDS-afflicted children.,"    DirectorSteve Hoover     StarsRocky Braat, Steve Hoover, Anitha, Devi","1,618",92.0,0.12
437,GMO OMG,2013,Documentary            ,6.4,Filmmaker Jeremy Seifert journeys to Haiti Paris Norway and even agri-giant Monsanto in search of answers about genetically modified organisms (GMOs) and how they affect our children the health of our planet and our freedom of choice.,"    DirectorJeremy Seifert     StarsJeremy Seifert, Vandana Shiva, Cary Fowler, Dennis Kucinich","1,445",90.0,0.04
438,Spark: A Burning Man Story,2013,"Documentary, Action, Biography            ",6.2,Each year 60000 people from around the globe gather in a dusty windswept Nevada desert to build a temporary city collaborating on large-scale art and partying for a week before burning a...                See full summary »,"    DirectorsSteve Brown, Jessie Deeter     StarsHarley K. Dubois, Marian Goodell, Larry Harvey, John Law",562,90.0,0.12
439,The Comedians of Comedy,2005,"Comedy, Documentary            ",7.3,Follow four comedians as they tour the States.,"    DirectorMichael Blieden     StarsPatton Oswalt, Brian Posehn, Maria Bamford, Zach Galifianakis","2,558",103.0,0.0
440,Sunrise,2014,"Crime, Drama, Mystery            ",6.3,Before sunrise Joshi must catch the elusive figure that destroys the lives of children.,"    DirectorPartho Sen-Gupta     StarsAdil Hussain, Tannishtha Chatterjee, Gulnaaz Ansari, Komal Gupta",279,85.0,0.0
441,The Search for General Tso,2014,"Documentary, Comedy, History            ",6.9,Who was General Tso and why are we eating his chicken This feature documentary explores the origins and ubiquity of Chinese-American food through the story of an iconic sweet and spicy chicken dish.,"    DirectorIan Cheney     StarsSusan Carter, Ian Cheney, Philip Chiang, Andrew Coe","1,726",71.0,0.01
442,The Garden,2008,Documentary            ,7.3,From the ashes of the L.A. riots arose a lush 14-acre community garden the largest of its kind in the United States. Now bulldozers threaten its future.,"    DirectorScott Hamilton Kennedy     StarsDanny Glover, Daryl Hannah, Antonio Villaraigosa",716,80.0,0.03
443,Gore Vidal: The United States of Amnesia,2013,"Documentary, Biography, History            ",7.7,This is an unashamedly opinionated film. In Gore Vidal's America the political coup has already happened. The right have triumphed and the human values of the liberals have been consigned ...                See full summary »,"    DirectorNicholas D. Wrathall     StarsGore Vidal, Howard Auster, James Best, Karen Black","1,243",83.0,0.13
444,"Maxed Out: Hard Times, Easy Credit and the Era of Predatory Lenders",2006,Documentary            ,7.2,When Hurricane Katrina ravaged America's Gulf Coast it laid bare an uncomfortable reality-America is not only far from the world's wealthiest nation; it is crumbling beneath a staggering ...                See full summary »,"    DirectorJames D. Scurlock     StarsBeth Naef, Mike Hudson, Louis C.K., Catherine Brown","2,181",90.0,0.06
445,After Tiller,2013,"Documentary, Biography, Drama            ",7.4,This thought provoking sometimes troubling documentary examines the personal and ethical imperatives that drive abortion providers to continue in the face of often dangerous legal and personal harassment.,"    DirectorsMartha Shane, Lana Wilson     StarsGeorge Tiller, Warren Hern, Leroy Carhart, Susan Robinson","1,046",85.0,0.07
446,Red Trees,2017,Documentary            ,6.4,Traces a family's journey as one of only twelve Jewish families to survive the Nazi occupation of Prague during World War II.,"    DirectorMarina Willer     StarsAlfred Willer, Tim Pigott-Smith, Flora Fanelli, Alfie Watson",136,87.0,0.01
447,Big Words,2013,"Comedy, Drama            ",5.9,Members of a once-promising hip-hop group now in their late 30's struggle with regret disappointment and change on Election Night 2008.,"    DirectorNeil Drumming     StarsDorian Missick, Suzy Jane Hunt, Gbenga Akinnagbe, Darien Sills-Evans",277,93.0,0.01
448,Roving Mars,2006,"Documentary, Short            ",7.3,Through the eyes of two state-of-the-art rovers and with NASA scientists at your side you'll see Mars in a way no one ever has before-direct from the surface of the amazing red planet.,"    DirectorGeorge Butler     StarsPaul Newman, Steve Squyres, Rob Manning, Charles Elachi","1,022",40.0,10.4
449,Making the Boys,2011,"Documentary, Biography, Romance            ",7.3,On the eve of the 40th anniversary of the Gay Rights Movement the film explores the drama struggle and enduring legacy of the first-ever gay play and subsequent Hollywood movie to ...                See full summary »,"    DirectorCrayton Robey     StarsEdward Albee, Joe Allen, Matt Baney, David Carter",579,90.0,0.03
450,God Loves Uganda,2013,Documentary            ,7.4,An account of the American Evangelicals' attempts to indoctrinate their Christian Right beliefs in Uganda.,    DirectorRoger Ross Williams,"1,179",83.0,0.05
451,Restless Creature: Wendy Whelan,2016,Documentary            ,7.1,Documentary on the great American Ballerina Wendy Whelan,"    DirectorsLinda Saffire, Adam Schlesinger     StarsPeter Martins, David Prottas, Wendy Whelan",361,90.0,0.13
452,Danny Says,2015,"Documentary, Biography, History            ",6.7,Danny Says is a documentary on the life and times of Danny Fields. Since 1966 Danny Fields has played a pivotal role in music and culture of the late 20th century: working for the Doors...                See full summary »,"    DirectorBrendan Toller     StarsMx Justin Vivian Bond, John Cale, Judy Collins, Alice Cooper",779,105.0,0.04
453,Facing Darkness,2017,"Documentary, Drama            ",7.3,A Christian relief organization is met with the challenge of fighting the Ebola epidemic in west Africa through this enormous challenge their faith grew.,"    DirectorArthur Rasco     StarsFranklin Graham, Kent Brantly, Amber Brantly, Writebol Nancy",88,93.0,0.56
454,Louder Than a Bomb,2010,Documentary            ,7.5,By turns hopeful and heartbreaking Louder Than a Bomb follows the fortunes of four Chicago-area high school poetry teams as they prepare for and compete in the world's largest youth slam.,"    DirectorsGreg Jacobs, Jon Siskel     StarsKevin Coval, Adam Gottlieb, Elizabeth Graf, Kevin Harris",373,99.0,0.04
455,Vidal Sassoon: The Movie,2010,Documentary            ,6.5,Vidal Sassoon is more than just a hairdresser-he's a rock star an artist a craftsman who changed the world with a pair of scissors. With the geometric Bauhaus-inspired hairdos he ...                See full summary »,"    DirectorCraig Teper     StarsBeverly Adams, Elgin Charles, Grace Coddington, Michael Gordon",245,90.0,0.09
456,Men at Lunch,2012,"Documentary, Mystery            ",6.3,The story of Lunch atop a Skyscraper the iconic photograph taken during the construction of 30 Rockefeller Plaza.,"    DirectorSeán Ó Cualáin     StarsFionnula Flanagan, Peter Quinn, Ric Burns, Christine Roussel",331,75.0,0.0
457,Decoding Deepak,2012,Documentary            ,5.5,Deepak Chopra's son Gotham spends a year traveling with this father in an attempt to resolve the spiritual icon he is to the world with the man known to his family.,"    DirectorGotham Chopra     StarsDeepak Chopra, Gotham Chopra",124,83.0,0.01
458,Theo Who Lived,2016,Documentary            ,6.8,A documentary on American journalist Theo Padnos who was Kidnapped by Al-Qaeda in Syria.,    DirectorDavid Schisgall     StarTheo Padnos,111,86.0,0.01
459,Southern Justice,2006,"Action, Adventure, Thriller            ",3.1,M.D. Selig's feature thriller SOUTHERN JUSTICE throws ex-military sniper Slim Manning into the gritty underworld of a small southern town where fundamentalist religion moves into the ...                See full summary »,"    DirectorM.D. Selig     StarsM.D. Selig, Michael Childers, Lisa Robert, Rico Cymone",126,96.0,0.14
